Drug_A,Drug_B,Level
Cocaine (topical),Streptozocin,No Interaction
Tositumomab (I-131),Rivaroxaban,Major
Ritonavir,Tropicamide,No Interaction
Diltiazem,Galactose,Unknown
Cobicistat,Rucaparib,Moderate
Prednisolone,Diclofenamide,Moderate
Calcitriol,Folic acid,Unknown
Amlodipine,Acetylcysteine,Unknown
Leucovorin,Norgestimate,No Interaction
Darifenacin,Megestrol acetate,No Interaction
Calcitriol,Leucovorin,Unknown
Iodide I-123,Benznidazole,Moderate
Carteolol,Gadobutrol,Moderate
Glycopyrronium,Tositumomab (I-131),No Interaction
Sodium bicarbonate,Tolazoline,No Interaction
Levacetylmethadol,Neomycin,No Interaction
Nateglinide,Tamoxifen,No Interaction
Insulin lispro,Olodaterol,No Interaction
Methadone,Ethanol,Moderate
Methysergide,Ioflupane I-123,Moderate
Physostigmine,Doxepin,Moderate
Atomoxetine,Ciclopirox,No Interaction
Iopromide,Levobetaxolol (ophthalmic),Moderate
Acyclovir,Sulfasalazine,No Interaction
Calcipotriol (topical),Oxybutynin,No Interaction
Procarbazine,Samarium (153Sm) lexidronam,Major
Cefuroxime,Dexbrompheniramine,No Interaction
Candida albicans,Chloroprocaine,No Interaction
Alemtuzumab,Iobenguane (I-131),Moderate
Zolmitriptan,Promethazine,Unknown
Ketorolac,Deferasirox,Major
Budesonide,Iodide I-123,Moderate
Spironolactone,Nitrous acid,Moderate
Brimonidine (topical),Ethanol,Moderate
Simvastatin,Sevelamer,Unknown
Digoxin,Prednisolone,Moderate
Anastrozole,Entecavir,No Interaction
Temsirolimus,Iopamidol,Major
Tositumomab (I-131),Tipranavir,Major
Dextroamphetamine,Travoprost,No Interaction
Capreomycin,Isometheptene,No Interaction
Triamterene,Iodipamide,Moderate
Niraparib,Orphenadrine,No Interaction
Abametapir (topical),Ephedrine (nasal),No Interaction
Hydroflumethiazide,Iodipamide,Moderate
Maraviroc,Cobicistat,Moderate
Nalidixic acid,Valbenazine,No Interaction
Cyclizine,Dolasetron,No Interaction
Streptomycin,Deferasirox,Major
Cidofovir,Ioxilan,Major
Tetracaine (topical),Zinc sulfate,No Interaction
Acetylcysteine,Tioguanine,No Interaction
Levamlodipine,Selenium Sulfide,No Interaction
Mefloquine,Iodide I-123,Moderate
Tramadol,Galactose,Unknown
Medroxyprogesterone acetate,Vandetanib,No Interaction
Vitamin A,Bexarotene,Moderate
Articaine,Magaldrate,No Interaction
Cyclosporine,Iothalamic acid,Major
Methysergide,Nilutamide,No Interaction
Anthrax vaccine,Muromonab,No Interaction
Caffeine,Naproxen,Unknown
Glycopyrronium (topical),Meningococcal polysaccharide vaccine group C,No Interaction
Midostaurin,Cobicistat,Major
Loxapine,Piroxicam,No Interaction
Abametapir (topical),Cefdinir,No Interaction
Vitamin A,Acetylsalicylic acid,Unknown
Calcipotriol (topical),Fenoprofen,No Interaction
Lactulose,Methotrimeprazine,No Interaction
Tositumomab (I-131),Treprostinil,Major
Antithymocyte immunoglobulin (rabbit),Brivaracetam,No Interaction
Diltiazem,Deferasirox,Moderate
Citalopram,Dexamethasone,No Interaction
Tolbutamide,Cariprazine,Moderate
Lumefantrine,Methocarbamol,No Interaction
Phendimetrazine,Poliovirus type 1 antigen (formaldehyde inactivated),No Interaction
Dasatinib,Demecarium (ophthalmic),No Interaction
Escitalopram,Streptokinase,No Interaction
Phenylephrine (ophthalmic),Strontium chloride Sr-89,No Interaction
Cangrelor,Zinc chloride,No Interaction
Bleomycin,Procainamide,No Interaction
Dihydrocodeine,Deferasirox,Moderate
Clostridium tetani toxoid antigen (formaldehyde inactivated),Proparacaine (ophthalmic),No Interaction
Cobicistat,Upadacitinib,Major
Iohexol,Benzhydrocodone,Major
Phenylbutazone,Typhoid vaccine (inactivated),No Interaction
